Conference Name,Start Date,End Date,Month,Quarter,City,Country,Region,Type,Bitcoin-Only,Mining Focus,Website,Status,Notes / Key Details,Verified
Bitcoin Treasuries Emerging Markets Investor Day 2027,February 20,February 20,February,Q1,New York City (NY),USA,North America,Summit,Yes,No,https://luma.com/btemid2502,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Treasury-company investor day,Projected from proofofconference
Sound Money Soiree 2027,February 20,February 20,February,Q1,Tampa (FL),USA,TBD,Conference,Yes,No,,Confirmed,The Vault; Bitcoin Bay Foundation,Yes - proofofconference directory
Heatpunk Summit 2027,February 26,February 27,February,Q1,Denver (CO),USA,North America,Summit,Yes,Yes,https://denver.space/heatpunk_summit,Confirmed,The Space; bitcoin heat reuse,Yes - denver.space + proofofconference
bitcoin++ Florianopolis 2027,February 26,February 28,February,Q1,Florianopolis,Brazil,Latin America,Conference,Yes,No,https://btcplusplus.dev/conf/floripa26,Projected,PROJECTED - 2027 dates not announced. 2026 edition: February 26 to February 28. Developer conference; exploits edition,Projected from the 2026 list
Bitcoin Ski Summit 2027,March 4,March 8,March,Q1,Teton Village (WY),USA,North America,Summit,Yes,Yes,https://www.monolithic.tech/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Invite-only mining networking ski summit; the 2026 list carried this as 'Mining Ski Summit',Projected from proofofconference
Bitcoins @ Infinite Games 2027,March 4,March 22,March,Q1,Roatan,Honduras,Latin America,Retreat,Yes,No,https://bitcoingames.lovable.app/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Three-week programme,Projected from proofofconference
Women of Bitcoin Summit 2027,March 4,March 5,March,Q1,TBD,TBD,TBD,Summit,Yes,No,https://womenofbitcoin.io,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. City not published,Projected from proofofconference
Bitkiwi XV 2027,March 7,March 7,March,Q1,Christchurch,New Zealand,Oceania,Conference,Yes,No,https://kiwibitcoinguide.org/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
Bitcoin Bush Bash Beechworth 2027,March 13,March 15,March,Q1,Beechworth,Australia,Oceania,Retreat,Yes,No,https://bitcoinbushbash.info/beechworth/,Projected,"PROJECTED - 2027 dates not announced; carried from the 2026 edition. Fourth Bush Bash location; the 2026 list had only Byron Bay, Palm Cove and Busselton",Projected from proofofconference
Satoship 2027,March 20,March 22,March,Q1,Rapperswil-Jona,Switzerland,Europe,Conference,Yes,No,https://bitcoinblock.study/satoship/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
Digital Asset Summit NYC 2027,March 24,March 26,March,Q1,New York City (NY),USA,North America,Summit,No,No,https://blockworks.co/event/digital-asset-summit,Projected,PROJECTED - 2027 dates not announced. 2026 edition: March 24 to March 26. Blockworks; institutional Bitcoin + digital assets,Projected from the 2026 list
Japan Bitcoin Future Forum 2027,March 25,March 25,March,Q1,Yokohama,Japan,Asia,Forum,Yes,No,https://portal.metaplanet.jp/en/events/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Hosted by Metaplanet,Projected from proofofconference
CheatCode 2027,March 26,March 29,March,Q1,Bedford,England,Europe,Conference,Yes,No,https://www.cheatcode.co.uk,Projected,PROJECTED - 2027 dates not announced. 2026 edition: March 26 to March 29. UK Bitcoin conference,Projected from the 2026 list
Bitcoin For Corporations (BFC) - Strategy World 2027,March 29,March 29,March,Q1,Orlando (FL),USA,North America,Symposium,Yes,No,https://bitcoinforcorporations.com/,Confirmed,"Corporate-treasury symposium inside Strategy World, which moves to Orlando for 2027",Yes - strategy.com/world27 + proofofconference
Strategy World 2027,March 29,April 1,March,Q1,Orlando (FL),USA,TBD,Conference,Yes,No,,Confirmed,Signia by Hilton Bonnet Creek; moves from Las Vegas,Yes - strategy.com/world27 + proofofconference
True North In-Side Event at Strategy World 2027,March 29,March 29,March,Q1,Orlando (FL),USA,North America,Networking,Yes,No,https://luma.com/tnb4c26,Projected,"PROJECTED - 2027 dates not announced; carried from the 2026 edition. Side event; follows Strategy World, which moves to Orlando for 2027",Projected from proofofconference
BitBlockBoom! 2027,April 1,April 4,April,Q2,Fort Worth (TX),USA,North America,Conference,Yes,No,https://bitblockboom.com/,Confirmed,Fort Worth Stockyards Station,Yes - bitblockboom.com + proofofconference
MIT Bitcoin Expo 2027,April 11,April 12,April,Q2,Cambridge (MA),USA,North America,Expo,Yes,No,https://mitbitcoinexpo.org/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Student-run; longest-running Bitcoin expo,Projected from proofofconference
Blockchain Forum Moscow 2027,April 14,April 15,April,Q2,Moscow,Russia,CIS/Eastern Europe,Forum,No,No,https://blockchain.forum/en,Projected,PROJECTED - 2027 dates not announced. 2026 edition: April 14 to April 15. Largest blockchain event in CIS region,Projected from the 2026 list
Paris Blockchain Week 2027,April 15,April 16,April,Q2,Paris,France,Europe,Conference,No,No,https://www.parisblockchainweek.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: April 15 to April 16. European blockchain flagship; Bitcoin track,Projected from the 2026 list
Bitchill s03 2027,April 16,April 25,April,Q2,Roatan,Honduras,Latin America,Retreat,Yes,No,https://luma.com/wkoxeb9m,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
OPNEXT 2027,April 16,April 16,April,Q2,New York City (NY),USA,North America,Conference,Yes,No,https://opnext.dev/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Developer event,Projected from proofofconference
Muslim Bitcoin Summit 2027,April 17,April 19,April,Q2,Dallas (TX),USA,North America,Summit,Yes,No,https://mslmbtcsummit.com/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Moves from London to Dallas. The directory row is labelled 2027 but carries a 2026 year stamp - confirm,"Projected from Partial - proofofconference, year stamp ambiguous"
Swiss Bitcoin Conference 2027 (SBC27),April 22,April 25,April,Q2,Kreuzlingen,Switzerland,TBD,Conference,Yes,No,,Confirmed,"Carried from the 2026 list, where 2027 was already announced",Yes - swissbitcoinconference.com
Swiss Bitcoin Conference 2027 (SBC26),April 23,April 26,April,Q2,Kreuzlingen,Switzerland,Europe,Conference,Yes,No,https://swissbitcoinconference.com/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: April 23 to April 26. 4th edition; Bodensee; 5th edition (SBC27) announced Apr 22-25 2027,Projected from the 2026 list
bitcoin++ Vegas 2027,April 23,April 24,April,Q2,Hoover Dam (NV),USA,North America,Conference,Yes,No,https://btcplusplus.dev/conf/vegas,Projected,PROJECTED - 2027 dates not announced. 2026 edition: April 23 to April 24. Developer conference; villain edition; near Las Vegas,Projected from the 2026 list
Bitcoin For Corporations (BFC) - Bitcoin 2027 Symposium,April 27,April 27,April,Q2,Las Vegas (NV),USA,North America,Symposium,Yes,No,https://bitcoinforcorporations.com/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: April 27. Co-located with Bitcoin 2026; corporate Bitcoin treasury focus,Projected from the 2026 list
Unconfiscatable 2027,April 27,April 27,April,Q2,Las Vegas (NV),USA,North America,Conference,Yes,No,https://unconfiscatable.com/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
BTC Prague 2027,May 6,May 8,May,Q2,Prague,Czech Republic,Europe,Conference,Yes,No,https://btcprague.com,Confirmed,Largest Bitcoin-only event in Europe; moves earlier from its June 2026 slot,Yes - btcprague.com + proofofconference
Bitcoin Burgenland 2027,May 8,May 8,May,Q2,Neufeld an der Leitha,Austria,Europe,Conference,Yes,No,https://www.rettedeingeld.at/bitcoin-burgenland-2025/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 8. 5th edition; Bitcoin in Austrian Burgenland region,Projected from the 2026 list
LABITCONF B2B CDMX Edition 2027,May 8,May 10,May,Q2,Mexico City,Mexico,Latin America,Conference,No,No,https://labitconf.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 8 to May 10. B2B Bitcoin/blockchain adoption; Poliforum Siqueiros CDMX; note: extends to May 10,Projected from the 2026 list
MadBitcoin Summit 2027,May 9,May 12,May,Q2,Madrid,Spain,Europe,Summit,Yes,No,https://madbitcoinsummit.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 9 to May 12. 1st major Bitcoin summit in Spain; 1500+ attendees; Círculo de Bellas Artes; Bitcoin treasuries + institutional + energy focus,Projected from the 2026 list
Mining Disrupt 2027,May 11,May 13,May,Q2,Dallas (TX),USA,TBD,Conference,Yes,No,,Confirmed,"Irving Convention Center; rotates Miami <-> Texas. DATE CONFLICT: miningdisrupt.com showed March 22-24, Eventbrite and the @MiningDisrupt profile say May 11-13. Confirm before booking.",Yes - Eventbrite + @MiningDisrupt - CONFLICTS with miningdisrupt.com
DTECH Data Centers & AI 2027,May 12,May 14,May,Q2,Scottsdale (AZ),USA,North America,Conference,No,Yes,https://dtech-events.com/data-ai,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 12 to May 14. Data centers + AI + Bitcoin mining power,Projected from the 2026 list
Tuscany Lightning Summit 2027,May 12,May 13,May,Q2,Viareggio,Italy,Europe,Summit,Yes,No,https://tuscanysummit.com/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Lightning Network focus,Projected from proofofconference
Digital Asset Summit London 2027,May 13,May 14,May,Q2,London,UK,Europe,Summit,No,No,https://blockworks.co/event/digital-asset-summit,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 13 to May 14. Blockworks Europe edition; London,Projected from the 2026 list
Digital Assets Week NYC 2027,May 13,May 14,May,Q2,New York City (NY),USA,North America,Conference,No,No,https://daweek.org/usa-26,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 13 to May 14. Digital assets + Bitcoin; NYC,Projected from the 2026 list
Free Madeira Energy Summit 2027,May 14,May 14,May,Q2,Lisbon,Portugal,Europe,Summit,Yes,Yes,https://energysummit.freemadeira.org,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 14. Bitcoin + energy + freedom; Lisbon Portugal,Projected from the 2026 list
Bitcoin Bush Bash Byron Bay 2027,May 15,May 17,May,Q2,Byron Bay (NSW),Australia,Oceania,Retreat,Yes,No,https://bitcoinbushbash.info/byron-bay/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 15 to May 17. Bitcoin community bash; Byron Bay NSW Australia,Projected from the 2026 list
Bitcoin Economic Forum 2027,May 15,May 17,May,Q2,Bretagne,France,Europe,Forum,Yes,No,https://www.breizhbitcoin.com/bitcoin-economic-forum/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 15 to May 17. Bitcoin economics; Bretagne France,Projected from the 2026 list
Timechain Summit 2027,May 15,May 16,May,Q2,Denver (CO),USA,North America,Summit,Yes,Yes,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 15 to May 16. First event dedicated to Bitcoin's base layer and real-world projects; The Space Denver,Projected from the 2026 list
AIM Summit London 2027,May 18,May 19,May,Q2,London,UK,Europe,Summit,No,No,https://aimsummit.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 18 to May 19. Alternative investments + Bitcoin; London,Projected from the 2026 list
Texas Energy & Mining Summit (TEMS) 2027,May 20,May 21,May,Q2,Austin (TX),USA,North America,Summit,Yes,Yes,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 20 to May 21. Texas energy + Bitcoin mining; how TX became the lab for tech + finance + mining,Projected from the 2026 list
Bitcoin Ireland Conference 2027,May 22,May 25,May,Q2,Dublin,Ireland,Europe,Conference,Yes,No,https://bitcoinireland.eu,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 22 to May 25. 3-day Bitcoin event; Lightning demos; 10% off,Projected from the 2026 list
Bitcoin is for Everyone 2027,May 22,May 23,May,Q2,Portland (OR),USA,North America,Conference,Yes,No,https://bitcoinisforeveryone.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 22 to May 23. Pacific Northwest's largest Bitcoin event; 3rd year,Projected from the 2026 list
Pizza Day Prague 2027,May 22,May 23,May,Q2,Prague,Czech Republic,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 22 to May 23. International Bitcoin conference around Bitcoin Pizza Day (May 22),Projected from the 2026 list
Bitcare Forum 2027,May 23,May 23,May,Q2,Brescia,Italy,Europe,Forum,Yes,No,https://bitcareforum.it,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 23. Italian Bitcoin forum,Projected from the 2026 list
bitcoin++ Vienna 2027,May 27,May 28,May,Q2,Vienna,Austria,Europe,Conference,Yes,No,https://btcplusplus.dev/conf/vienna,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 27 to May 28. Developer conference; economics edition,Projected from the 2026 list
Barcelona Cyphers Conference 2027,May 29,May 30,May,Q2,Barcelona,Spain,Europe,Conference,Yes,No,https://www.bcc8333.xyz/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 29 to May 30. Cypherpunk + Bitcoin builders; La Salle Campus Barcelona; workshops + community,Projected from the 2026 list
Bitcoin Treasuries Unconference UK 2027,May 29,May 29,May,Q2,Bristol,England,Europe,Unconference,Yes,No,https://www.smarterwebcompany.co.uk/bitcoin-treasuries-unconference-uk/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: May 29. Corporate Bitcoin treasury focus; Bristol UK,Projected from the 2026 list
Oslo Freedom Forum 2027,May 31,June 2,May,Q2,Oslo,Norway,Europe,Forum,Yes,No,https://oslofreedomforum.com/,Confirmed,Human Rights Foundation,Yes - oslofreedomforum.com + proofofconference
Bitcoin FilmFest 2027,June 4,June 7,June,Q2,Warsaw,Poland,Europe,Festival,Yes,No,https://bitcoinfilmfest.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 4 to June 7. World's first Bitcoin film festival; Warsaw,Projected from the 2026 list
Bitcoin Corporate Day by Bitwise 2027,June 10,June 10,June,Q2,Prague,Czech Republic,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 10. Institutional/corporate Bitcoin day; co-located before BTC Prague,Projected from the 2026 list
Freedom Tech Summit 2027,June 10,June 10,June,Q2,Prague,Czech Republic,Europe,Summit,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 10. Freedom tech + Bitcoin; co-located before BTC Prague,Projected from the 2026 list
bitcoin++ Nairobi 2027,June 17,June 20,June,Q2,Nairobi,Kenya,Africa,Conference,Yes,No,https://btcplusplus.dev/conf/nairobi,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 17 to June 20. Developer conference; open source edition,Projected from the 2026 list
Camp Nakamoto 2027,June 18,June 21,June,Q2,Mirror Lake (NH),USA,North America,Retreat,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 18 to June 21. Bitcoin retreat in nature; New Hampshire,Projected from the 2026 list
Bitcoin Rodeo 2027,June 25,June 26,June,Q2,Calgary (AB),Canada,North America,Conference,Yes,No,https://bitcoinrodeo.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 25 to June 26. Bitcoin-only; Calgary Alberta; Bull Bitcoin sponsored,Projected from the 2026 list
The Bitcoin Paradigm 2027 (Le Paradigme Bitcoin),June 26,June 27,June,Q2,Neuchâtel,Switzerland,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: June 26 to June 27. Bitcoin + economics; Switzerland; French-language audience,Projected from the 2026 list
Bitcoin Alaska 2027,July 1,July 6,July,Q3,Juneau (AK),USA,North America,Retreat,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
Canadian Bitcoin Consortium 2027,July 6,July 10,July,Q3,Calgary (AB),Canada,North America,Forum,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: July 6 to July 10. Exclusive Bitcoin industry consortium; Calgary,Projected from the 2026 list
Mallorca Blockchain Days VIII 2027,July 9,July 12,July,Q3,Palma de Mallorca,Spain,Europe,Conference,No,No,https://mallorcablockchaindays.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: July 9 to July 12. 8th edition; Mallorca Spain; broader blockchain but Bitcoin-friendly,Projected from the 2026 list
Bitcoin 2027,July 15,July 17,July,Q3,Nashville (TN),USA,North America,Conference,Yes,No,https://2026.b.tc/,Confirmed,Music City Center; returns to Nashville after two years in Las Vegas. Announced on day 2 of Bitcoin 2026,Yes - b.tc + Bitcoin Magazine + Eventbrite
Mining Roundtable Miami 2027,July 22,July 22,July,Q3,Miami (FL),USA,North America,Roundtable,Yes,Yes,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: July 22. Private Bitcoin mining industry roundtable; alongside Mining Disrupt,Projected from the 2026 list
bitcoin++ Toronto 2027,July 22,July 24,July,Q3,Toronto,Canada,North America,Conference,Yes,No,https://btcplusplus.dev/conf/toronto,Projected,PROJECTED - 2027 dates not announced. 2026 edition: July 22 to July 24. Developer conference; consensus edition,Projected from the 2026 list
Energy Investors Forum (EIF) 2027,July 23,July 24,July,Q3,Dallas (TX),USA,North America,Forum,No,Yes,https://energyinvestorsforum.com,Projected,"PROJECTED - 2027 dates not announced. 2026 edition: July 23 to July 24. Energy + compute + capital; by TheEnergyMag (ex-TheMinerMag) team; Day 2 = private 1:1 meetings; speakers from Foundry, Braiins, Canaan, Compass, Bitdeer, Galaxy",Projected from the 2026 list
Bitcoin Bush Bash Palm Cove 2027,July 24,July 26,July,Q3,Palm Cove,Australia,Oceania,Retreat,Yes,No,https://bitcoinbushbash.info,Projected,PROJECTED - 2027 dates not announced. 2026 edition: July 24 to July 26. Queensland Australia,Projected from the 2026 list
Lake Satoshi Retreat 2027,July 31,August 2,July,Q3,Michigan,USA,North America,Retreat,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: July 31 to August 2. Bitcoin community nature retreat; Michigan,Projected from the 2026 list
Acelerando Bitcoin 2027,August 12,August 13,August,Q3,Asunción,Paraguay,Latin America,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: August 12 to August 13. Bitcoin adoption conference in Paraguay,Projected from the 2026 list
Bitcoin Beyond 66 2027,August 14,August 14,August,Q3,Bodø,Norway,Europe,Conference,Yes,No,https://bitcoinbeyond66.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: August 14. Above the Arctic Circle; Norway,Projected from the 2026 list
Bitcoin Vibecamp 2027,August 17,August 22,August,Q3,Roatán,Honduras,Latin America,Retreat,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: August 17 to August 22. Bitcoin community camp/retreat; Roatán island Honduras,Projected from the 2026 list
Bitcoin Infinity Day 2027,August 21,August 21,August,Q3,Roatán,Honduras,Latin America,Event,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: August 21. Annual Bitcoin Infinity Day celebration; Roatán Honduras,Projected from the 2026 list
Bitcoin Asia 2027,August 26,August 27,August,Q3,Hong Kong,China (HK),Asia,Conference,Yes,No,https://asia.b.tc,Confirmed,b.tc Asia edition,Yes - b.tc conference family listing
Bitcoin For Corporations (BFC) - Bitcoin Hong Kong Symposium 2027,August 27,August 27,August,Q3,Hong Kong,China (HK),Asia,Symposium,Yes,No,https://bitcoinforcorporations.com/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: August 27. Co-located with Bitcoin Asia,Projected from the 2026 list
BTC in DC 2027,September 1,September 2,September,Q3,Washington DC,USA,North America,Conference,Yes,No,https://twitter.com/btcindc_,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 1 to September 2. Community Bitcoin conference in DC; @btcindc_ on X; note: separate from Bitcoin Policy Summit Sep 22,Projected from the 2026 list
BSE: Bitcoin - Sovereignty - Economics 2027,September 12,September 12,September,Q3,Bury St Edmunds,England,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 12. UK Bitcoin sovereignty + economics,Projected from the 2026 list
Bitcoin Treasuries Unconference NYC 2027,September 17,September 17,September,Q3,New York City (NY),USA,North America,Unconference,Yes,No,https://luma.com/btunyc,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 17. Lavan Midtown New York; 641 W 42nd St; inaugural edition was 2025,Projected from the 2026 list
Copa Bitcoin 2027,September 18,September 20,September,Q3,Huanchaco,Peru,Latin America,Festival,Yes,No,https://motivperu.ngo/en/copa-bitcoin/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 18 to September 20. Surf tournament + Bitcoin adoption; 2nd largest surf tournament in Huanchaco; Bitcoin + tourism + culture,Projected from the 2026 list
Noderunners Conference 2027,September 19,September 19,September,Q3,Arnhem,Netherlands,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 19. Self-sovereignty + node running; Netherlands,Projected from the 2026 list
Bitcoin Policy Summit 2027,September 22,September 22,September,Q3,Washington DC,USA,North America,Summit,Yes,No,https://www.btcpolicy.org/bitcoin-policy-summit,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 22. Bitcoin Policy Institute 3rd annual; policymakers + regulators + Congress; confirmed Sep 22,Projected from the 2026 list
European Mining Summit (EMS) 2027,September 23,September 23,September,Q3,Helsinki,Finland,Europe,Summit,Yes,Yes,https://miningsummit.eu,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 23. Bitcoin mining + Nordic energy sector; focused single-day event,Projected from the 2026 list
Midwest Bitcoin Summit 2027,September 23,September 24,September,Q3,Columbus (OH),USA,North America,Summit,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 23 to September 24. Bitcoin adoption + business use cases; Columbus OH,Projected from the 2026 list
BTC Helsinki (BTCHEL) 2027,September 25,September 26,September,Q3,Helsinki,Finland,Europe,Conference,Yes,Yes,https://btchel.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: September 25 to September 26. Bitcoin payments + finances + mining; only Nordic Bitcoin conference,Projected from the 2026 list
Proof Conference 2027,September 27,September 27,September,Q3,Vilnius,Lithuania,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from bitcoinonly.events
bitcoin++ Berlin 2027,October 1,October 3,October,Q4,Berlin,Germany,Europe,Conference,Yes,No,https://btcplusplus.dev/conf/berlin26,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 1 to October 3. Developer conference; payments edition,Projected from the 2026 list
Canadian Bitcoin Conference 2027,October 2,October 3,October,Q4,TBD,Canada,North America,Conference,Yes,No,https://canadianbitcoinconf.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 2 to October 3. Annual Canadian Bitcoin conference; Oct 2-3 confirmed from official site,Projected from the 2026 list
Watch Out Bitcoin! 2027,October 2,October 4,October,Q4,Madrid,Spain,Europe,Conference,Yes,No,https://wobitcoin.org,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 2 to October 4. Annual Spanish-language Bitcoin conference; Madrid; 2-4 Oct confirmed,Projected from the 2026 list
Bitcoin Poland Poznan 2027,October 5,October 6,October,Q4,Poznan,Poland,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from bitcoinonly.events
Imagine If... 2027,October 5,October 6,October,Q4,Nashville (TN),USA,North America,Summit,Yes,Yes,https://bitcoinpark.com/imagineif/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 5 to October 6. Bitcoin + AI + energy + freedom tech; Bitcoin Park Nashville,Projected from the 2026 list
TABConf 2027,October 12,October 15,October,Q4,Atlanta (GA),USA,North America,Conference,Yes,No,https://tabconf.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 12 to October 15. Technical Atlanta Bitcoin Conference; 8th edition; deep Bitcoin dev focus,Projected from the 2026 list
Bitcoin Alpha 2027,October 15,October 17,October,Q4,Santa Monica (CA),USA,North America,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from bitcoinonly.events
Bitcoin Bush Bash Busselton 2027,October 16,October 18,October,Q4,Busselton,Australia,Oceania,Retreat,Yes,No,https://bitcoinbushbash.info,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 16 to October 18. Western Australia,Projected from the 2026 list
